O*NET-SOC CODE	TITLE	TASKS
25-4012.00	Curators	Conducts or organizes tours, workshops, and instructional sessions to acquaint individuals with use of institution's facilities, and materials.
25-4012.00	Curators	Reserves facilities for group tours and social events and collects admission fees.
25-4012.00	Curators	Inspects premises for evidence of deterioration and need for repair.
25-4012.00	Curators	Schedules special events at facility and organizes details such as refreshment, entertainment, and decorations.
25-4013.00	Museum Technicians and Conservators	Preserves or directs preservation of objects, using plaster, resin, sealants, hardeners, and shellac.
25-4013.00	Museum Technicians and Conservators	Repairs and restores surfaces of artifacts to original appearance and to prevent deterioration, according to accepted procedures.
25-4013.00	Museum Technicians and Conservators	Evaluates need for repair and determines safest and most effective method of treating surface of object.
25-4013.00	Museum Technicians and Conservators	Cleans objects, such as paper, textiles, wood, metal, glass, rock, pottery, and furniture, using cleansers, solvents, soap solutions, and polishes.
25-4013.00	Museum Technicians and Conservators	Constructs skeletal mounts of fossils, replicas of archaeological artifacts, or duplicate specimens, using variety of materials and hand tools.
25-4013.00	Museum Technicians and Conservators	Repairs or reassembles broken objects, using glue, solder, hand tools, power tools, and small machines.
25-4013.00	Museum Technicians and Conservators	Studies descriptive information on object or conducts standard chemical and physical tests to determine age, composition, and original appearance.
25-4013.00	Museum Technicians and Conservators	Designs and fabricates missing or broken parts.
25-4013.00	Museum Technicians and Conservators	Cuts and welds metal sections in reconstruction or renovation of exterior structural sections and accessories of exhibits.
25-4013.00	Museum Technicians and Conservators	Recommends preservation measures, such as control of temperature, humidity, and exposure to light, to curatorial and building maintenance staff.
25-4013.00	Museum Technicians and Conservators	Installs, arranges, assembles, and prepares artifacts for exhibition.
25-4013.00	Museum Technicians and Conservators	Plans and conducts research to develop and improve methods of restoring and preserving specimens.
25-4013.00	Museum Technicians and Conservators	Prepares reports of activities and documents methods of preservation and repair.
25-4013.00	Museum Technicians and Conservators	Notifies superior when restoration of artifact requires outside experts.
25-4013.00	Museum Technicians and Conservators	Directs curatorial and technical staff in handling, mounting, care, and storage of art objects.
25-4013.00	Museum Technicians and Conservators	Estimates cost of restoration work.
25-4013.00	Museum Technicians and Conservators	Builds, repairs, and installs wooden steps, scaffolds, and walkways to gain access to or permit improved view of exhibited equipment.
25-4021.00	Librarians	Organizes collections of books, publications, documents, audiovisual aids, and other reference materials for convenient access.
25-4021.00	Librarians	Assists patrons in selecting books and informational material and in research problems.
25-4021.00	Librarians	Researches, retrieves, and disseminates information from books, periodicals, reference materials or commercial data bases in response to requests.
25-4021.00	Librarians	Reviews, compiles, and publishes listing of library materials, including bibliographies and book reviews, to notify users.
25-4021.00	Librarians	Confers with teachers, parents, and community organizations to develop, plan and conduct programs in reading, viewing, and communication skills.
25-4021.00	Librarians	Compiles lists of overdue materials and notifies borrowers.
25-4021.00	Librarians	Keys information into computer to store or search for selected material or data bases.
25-4021.00	Librarians	Directs and trains library staff in duties, including receiving, shelving, researching, cataloging, and equipment use.
25-4021.00	Librarians	Assembles and arranges display materials.
25-4021.00	Librarians	Manages library program for children and other special groups.
25-4021.00	Librarians	Explains use of library facilities, resources, equipment, and services and provides information governing library use and policies.
25-4021.00	Librarians	Manages library resources stored in files, on film, or in computer data bases for research information.
25-4021.00	Librarians	Codes, classifies, and catalogs books, publications, films, audiovisual aids, and other library materials.
25-4021.00	Librarians	Reviews and evaluates resource material to select and order books, periodicals, audiovisual aids, and other materials for acquisition.
25-4031.00	Library Technicians	Assists patrons in operating equipment, obtaining library materials and services, and explains use of reference tools.
